SMILES sequence,Binding Affinity
CC(C)C(N)CC(O)Cc1ccccc1,-17.581453140283998
CC(ON)c1ccccc1S(N)(=O)=O,-21.27997264085248
C#CCCCNc1ccncc1C#N,-19.993536220110013
Cc1ccncc1OCCC(C)CCS,-18.444946961239488
CC(C)=CCNCc1cncc(C#N)c1,-20.439144490713637
CNCCC(C)CCc1ccccc1,-17.632086223120794
CC(O)C(C)Sc1ccncn1,-21.09928100550088
CN1c2ccccc2CCC1C(=O)O,-18.729802047346176
Cc1ccncc1OCCCC(C)C,-18.014077831880137
OC1CCN(CC2CCNCC2)CC1,-21.324412408297803
O=C(CC1CCC1)Nc1cccnc1,-20.607727018206994
NC(c1ccncc1)C1CCCCC1,-20.753379299835007
COc1ncc(N)c(N)n1,-24.3095976483294
CCCNc1cncc(N2CCCOCC2)c1,-21.942942547605398
Cc1ccncc1C(=O)C(C)C(C)C,-17.613920876697293
C=C(CNCC)c1ccccc1,-17.783349116303903
CC(C)(C)CCC=C1CC(N)C1,-18.41859488922315
CCNc1cccc(NCCSSC)n1,-23.20724432916751
c1ccc(CCNc2cccnc2)cc1,-21.485265430401892
COCCN(C)C(=O)NCc1ccccc1,-19.440016550314528
CN(C)CCCSc1ccncc1C#N,-21.607180065448585
CCC(C)C(N)c1cc(C)ccn1,-20.16689809305978
NC(Cc1ccccn1)c1ccccc1,-21.485265430401892
OCCSCc1ncccn1,-21.010909892563355
CCC(C)C(C)=C1CCC(N)C1,-18.41859488922315
N#Cc1ccc(NCCCC(N)=O)nc1,-22.730463607280736
CCNc1ccnc(C#N)c1,-21.081604329997923
N#Cc1ccc(C(=O)N=C=S)nc1,-19.360814625898772
Cc1ccncc1C(C)(C)CCN,-20.16689809305978
NCCNCc1cncnc1,-24.52429562559732
CCC(CC(C)c1ccccc1)C(C)O,-15.369344161365522
CC(C)(CSCc1ccccc1)C(=N)N,-19.890843243116336
CSCCCSCC(O)c1ccccc1,-17.096331803276506
COC(=O)c1ccc2c(c1)CCCN2C,-18.53621535925849
N#Cc1cccnc1OCCCO,-19.36564578898571
O=C(NCCO)c1ccncn1,-21.935718943122875
N#Cc1cccc(C2NCCCCC2=O)n1,-21.379004107903718
CN(C)Nc1ccncn1,-24.405682046586982
CCCC(C)(N)c1ccncn1,-22.46430122721862
CCCN(CCCN)c1cc(C)ccn1,-21.544000154858782
OC(CNC1CCCCC1)c1cccnc1,-20.271750793130384
Cc1ccccc1S(N)(=O)=O,-19.00549798649802
NC1Cc2ccsc2C1=O,-19.573435565529724
CN1CCC(N)c2ccccc21,-21.241055680598706
CC(CCO)CCNC(=O)c1ccccc1,-17.259779305197185
NC(Cc1cccnc1)CC1CCCCC1,-19.76227224916652
NC1=NC(=O)NC1,-21.4429325991983
CC1c2ccsc2CCN1S(N)(=O)=O,-23.134559373629475
CC(C)(CON)c1cncnc1,-22.591318965568938
NC(=O)Cc1ccncn1,-21.53797304522244
CC(CN)SCc1cncc(C#N)c1,-21.752959152834574
CCC(O)C(C(=O)O)c1ccccc1,-15.990500579391306
Nc1ccon1,-19.843310873817686
CCCNC(c1cnccc1C)C(C)(C)C,-18.725601216166275
CC(C#N)CNC(C)Cc1ccccc1,-18.72280766838139
CC=CCNc1ccncc1C#N,-20.60484499800942
CCNC(CCOCC)c1cc(C)ccn1,-19.266951493931263
CC(C)SC(C)(C=O)c1ccccc1,-16.217498118032623
Cc1ccnc(NCCOC(C)C)c1,-20.162443343196358
NC1=NC2(CO1)CSC2,-22.158622921311608
OC1CCNC(Cc2ccsc2)C1,-20.366192794729642
N#Cc1cc(N2CCCCCCC2)ccn1,-21.46091292192947
CCNc1cccc(NC(C)COC)n1,-21.95786349741925
CCCCC(=O)c1cnccc1C,-17.82507269941386
CN(C)CCNc1ccncn1,-24.517051537131447
N#Cc1cc(C2CCSC2)ccn1,-20.549635026124456
Cc1ccncc1NCC(C)CC(C)C,-19.331891175940303
CCNc1cccc(NCCCOC)n1,-21.95786349741925
CC(C)(O)C=C1CC(N)C1,-19.103549546852687
CCN(CC(C)O)c1ccncc1C#N,-21.157549587053566
CC(C)(N)CCNc1ccc(C#N)cn1,-23.00360282411326
OC1CCN(CCCc2cccs2)CC1,-19.72241628041695
Nn1cncn1,-23.805857888392467
CCC(N)CSc1ncccn1,-23.040949443963957
NCCCCC(=O)Cc1ccccc1,-17.613920876697293
CCC(CNc1cc(C)ccn1)N(C)C,-21.544000154858782
CCC(O)CCNc1ccc(C#N)cn1,-21.157549587053566
CC(C)(C)C(C#N)CNc1ccccc1,-18.72280766838139
CC(C)(N)CCOc1ncccc1C#N,-21.157549587053566
CCC(C)C=C1CCCC(N)C1,-18.41859488922315
C#CCCNc1ccncc1C#N,-19.917842438616425
NCCCCNc1ccncn1,-24.517051537131447
C#CCSCc1ncccn1,-19.50988703542704
CC(N)C(C(=O)O)c1ccccc1,-17.9839621715653
Nc1cnsc1,-20.292941352212704
Cc1ccncc1CNCCC(C)(C)O,-19.777626252301907
CCC(O)c1cnccc1C,-18.556805901811394
C=CC(=O)NCc1cnccc1C,-19.302371518237642
COC(=O)C(C#N)=Cc1cnccc1C,-18.17652923471634
C=C(C)CNc1ccccc1C(=O)OC,-17.195002572478785
COCCC(C)C(O)c1cnccc1C,-17.995316482844466
CCCC(N)C(=O)N(C)c1ccccc1,-19.44121276472132
NS(=O)(=O)c1ccccc1C=CCO,-18.63583497295004
Cc1ccncc1C(N)CCC(C)C,-19.812323468238137
C=CC=CCCc1cncnc1,-19.212840334425998
C=C(C)CCOc1ccnc(NCC)c1,-19.44121276472132
CC(=O)Nc1ccc(C)nn1,-21.800009426337855
CCNc1cccc(CSCC(=O)OC)n1,-20.239766903667768
CN=C(NC)SCc1cncc(C#N)c1,-23.180094085675755
CCOC(=O)c1cc(C)ccn1,-17.97364112540229
CS(=O)(=O)c1ccc(C#N)cn1,-19.56544802085505
NC1CCn2nncc21,-25.709589856587495
NS(=O)(=O)c1ccc(CCS)cc1,-19.696774229244465
CCC(CC)C(C)Nc1cc(C)ccn1,-19.331891175940303
Cc1ccncc1C(=O)C(N)CC(C)C,-19.44121276472132
N#CCc1cncnc1,-20.431673900290903
CC(C)(CO)SCc1cncc(C#N)c1,-19.745190961488323
CCC(OC)C(NN)c1cnccc1C,-21.95786349741925
CCc1cnccc1C,-18.38542067597549
COC(=O)c1ccccc1C(O)C(C)C,-15.796913891303623
CCCONC(N)=NCc1ccccc1,-21.58957827603754
CCCCCC(N)CSc1ccccc1,-18.031083618679016
C#CCNC(=O)NCCSCc1ccccc1,-18.83526149811056
CC(O)(CCN)CSCc1ccccc1,-18.444946961239488
CCNC1(C#N)CCC2CC21,-21.162910966120947
COC(OC)C(C)NCc1cnccc1C,-19.74455830409399
CCC(N)CC=Cc1ccccc1,-17.602439759660154
C=CC(CO)Nc1ncccc1C#N,-20.711941316449945
CCc1ncc(N)c(C)n1,-22.44854693807753
COCCSCc1ncccn1,-21.09928100550088
OC1CCN(Cc2cscn2)CC1,-22.45081483844361
CCOC(=O)NCC=Cc1ccccc1,-17.195002572478785
CC(C)(C)c1ccncc1C#N,-19.212840334425998
CC(=O)Nc1cnc(C)s1,-20.796681112149635
COCCCNc1ccc(C#N)cn1,-21.303328674439555
CC(=O)NC1(C)CC=CCC1,-18.423609498166073
CSCc1ccccc1,-16.813703381404608
NN=C(N)c1ccncn1,-25.500520059797225
C=CC(NCC)c1cnccc1C,-19.702997670274677
CC(N)(CC#N)c1cncnc1,-23.206789885947718
CCC(C)OCC(=O)Nc1cnccc1C,-19.440016550314528
CNc1ncccc1C#N,-20.819567948882508
Nc1ncc2n1CCC2,-23.784326481879177
Cc1ccc(CC(N)=O)s1,-18.871417737441316
CN1CCCc2c(CN=C=O)cccc21,-19.93430404043366
C=C(C)CCCNc1ncccc1C#N,-20.439144490713637
CC(CCO)SC(CC#N)c1ccccc1,-17.372996296011618
CCNC(CC(C)CC)c1ccccc1,-17.10384633012127
CCNc1cccc(COC(C)CC)n1,-19.777626252301907
COCCCC(NN)c1cnccc1C,-21.95786349741925
CN1CCC(O)(c2ccco2)CC1,-19.916562316334623
CCCC(C)=C1CCCCC1N,-18.41859488922315
CCNc1cncc(N2CCCOCC2)c1,-22.48385977204886
CCC(=O)c1cnccc1C,-17.869803342418393
N#CC(NCc1ccncc1)C1CCCCC1,-21.0156108988894
CCCNc1cccc(S(N)(=O)=O)c1,-21.121083168701038
CCCC(C)=C1CCCC1N,-18.76049218260086
CCNC(N)=NCCSc1ccccc1,-22.039208754432558
COC(=O)c1ccc(CC(O)CN)cc1,-17.913407668818714
N#Cc1ccccc1N1CCOCC1,-20.080083127819645
NC1CCCNCC1,-21.738919193381513
COCCC(C)(C#N)c1ccccc1,-17.15002045391219
C=CCC(C)Nc1ccc(C#N)cn1,-20.584923578099623
CSCCC(C)Nc1ccncc1C#N,-21.607180065448585
CC(=O)NC1(C)CCCCCC1,-18.736843030380236
NC1CSCCC12CC2,-21.016446504253864
CCCN(CC)C(CN)c1cnccc1C,-20.985517795786436
CC(C(NN)c1ccccc1)N(C)C,-21.97662484645492
CC(CO)c1cccc2c1N(C)CCC2,-18.554380705682
C#CCCCC(=O)COCc1ccccc1,-14.390779218018107
N#Cc1ncccc1C1NCCNC1=O,-23.559968370573653
CCC(N)CCC(=O)c1cnccc1C,-19.44121276472132
Cc1ccncc1OCC(C)(C)CO,-18.332325973037225
COC(C)CCNc1cc(C)ccn1,-20.162443343196358
NC1=CCNN1,-22.289217584658015
CCN(CCC(=O)O)c1ncccc1C#N,-20.740260550563367
OC1(Cc2ccsc2)CCCC1,-18.446544240758875
NC1C2C=CSC12,-19.813517521271628
C#CC(C)OCc1cncc(C#N)c1,-18.051867781646937
C#CC(C)=Cc1ccccc1,-14.44351711057376
COCCCC(C)Nc1cnccc1C,-19.777626252301907
O=CCc1ncccn1,-19.28855908952477
CC(CN)CNC(C)c1ccccc1,-19.812323468238137
CCOC(C)CNc1ccc(C#N)cn1,-21.157549587053566
CCCCC(C)C=C1CC(N)C1,-18.41859488922315
CCOc1ncc(N)c(N)n1,-24.523826428743117
CC#CCSc1ccc(C#N)cn1,-18.377996877846666
CCNC(C)CNCCCOCc1ccccc1,-17.868028974761383
CC(=O)Nc1nc(C)cs1,-20.796681112149635
CCCCNCC(OC)c1ccccc1,-17.581453140283998
CC(C)CC=C1COCC1N,-18.983125122354565
O=C(O)C#CCCOc1ccccc1,-14.807725863412085
C=C(C(=O)O)c1cnccc1C,-17.254766832208162
CCCC(C)CC(=O)c1cnccc1C,-17.276911386504537
CC(CC#N)c1cccc2c1CCCN2C,-19.28067567681213
CC(=O)NC1CCCC(C)C1,-18.983125122354565
Cc1ccnc(NC(=O)CC(C)N)c1,-21.830972564826908
NC12C3C4C5C3C1C5C42,-22.848633242884475
CNC(C(N)=O)c1cncnc1,-23.92519498228765
CCCC(NC)C(C)(O)c1ccccc1,-17.581453140283998
Cc1ccncc1C(=O)NC(CN)CN,-23.72200792045319
Cc1cccnc1CC(N)=O,-19.842874317828404
CN1CCC(O)(C2=COCCC2)CC1,-19.269432618862037
CC(Cc1ccccc1)NC(CO)C(C)C,-17.022970781211654
NCCCNc1ccncn1,-24.52429562559732
CC#CCCNC(=O)C#Cc1ccccc1,-15.340903343308723
CCN(C)C(=O)c1ncccn1,-21.936188139977073
CCNC(c1ccncc1)C1CCCCC1,-19.76227224916652
S=C(NCc1ccccn1)Nc1ccccc1,-23.443772497190754
CC=CC(N)c1ncccn1,-21.83235035699318
CCCC(NN)c1cncnc1,-24.517051537131447
CCC(C)(CO)CNc1cnccc1C,-19.777626252301907
CCCCCC(COCc1ccccc1)NN,-18.630419068084414
C=CCNCc1cc(C)ccn1,-19.836099426216734
CCC(C)C(=O)c1cncnc1,-19.931245430765934
CC(C)NCCCC(C)c1ccccc1,-17.10384633012127
CNC(CCOC(C)C)c1cc(C)ccn1,-19.266951493931263
C=C(C)CCCNc1cc(C)ccn1,-19.444038246856426
CC(=O)Nc1nc(C)co1,-20.34705063375462
COC(=O)CC(=O)NCc1ccccc1,-17.417635512232486
COC(=O)c1ccc(CON)cc1,-18.0791081761145
NCCCCNc1ncccn1,-24.517051537131447
CNCc1ccccc1S(N)(=O)=O,-21.18881218931252
Cc1ccncc1NCC(C)N,-22.46430122721862
CCNCCCc1cncnc1,-22.46430122721862
CNC(=O)CNc1ncccn1,-23.92519498228765
C#CCNCc1ncccn1,-21.081604329997923
CCS(=O)(=O)CCCNc1ccccc1,-18.795066836197705
CCNc1cc(OC)ccn1,-20.561748611022537
Cc1ccnc(NCCOCCCO)c1,-20.15961786106125
Cc1ccnc(NC(=O)C(=O)O)c1,-19.36517659213151
C=CCC=C1CC(N)C12CCC2,-18.91168616493549
Cc1ccc(CNCC2CNCCN2C)cc1,-21.369720536039296
CC(N)C(=O)c1cncnc1,-21.800009426337855
COC(=O)c1ccccc1CNCCC(C)C,-16.766669681455422
N#Cc1ccc(N2CC3CCC2C3)cn1,-22.67360550838853
OCC(Nc1ccccc1)c1cccnc1,-21.53187681669679
COC(=O)c1ccccc1C(C)SC,-16.440131057786324
CCOCC(=O)Nc1ccc(C#N)cn1,-20.820666902618783
Nn1cc2sccc2n1,-25.46526261852275
NC12C=CC(CC1)C2,-19.76492761976634
Cc1ccncc1NC(=O)C(C)CS,-20.402678072361105
CCCCC(N)c1cncnc1,-22.46430122721862
NC(=O)CNc1ncccn1,-23.741208667946736
CCN(CC)CCC(=O)c1cnccc1C,-19.02615320775406
CC(C)CC(=O)c1ncccn1,-19.931245430765934
c1cncc(CNCCCOC2CCCCC2)c1,-18.9684434753639
CCCN(C)c1ncccc1C#N,-21.228104089800155
Cc1ccncc1OCCC(C)(C)O,-18.332325973037225
N#Cc1ccccc1NN1CCOCC1,-22.034861951048175
CN1c2ccccc2CCC1CC(=O)O,-18.53621535925849
C#CCCC(O)Cc1ccccc1,-15.21280676531254
CCNC1(C#N)CCCCCCC1,-19.810599552806572
C#CCCNc1ncccc1C#N,-19.917842438616425
CN(CCS)Cc1ncccn1,-23.040949443963957
CCN(CCO)C(=O)NCc1ccccc1,-19.440016550314528
CCC(CN)CN(CC)Cc1ccccc1,-18.725601216166275
C=C(COCC)C(O)c1cnccc1C,-17.627031261462754
O=C(O)CCNc1ncccn1,-21.935718943122875
NCCC(c1ccccc1)c1cccnc1,-21.213628675539702
N#Cc1ncccc1N1CC=CCC1,-21.41442834139254
CC(C)CCCNc1ccncc1C#N,-20.87117317969761
Nc1noc2c1CCO2,-21.587214976152875
C=CCSCCC(N)c1ccccc1,-18.06355135509231
N#Cc1ccc(-n2nccn2)cn1,-26.835368703833016
C#CCC(C)(C)Nc1ccncc1C#N,-19.94337233412741
Cc1ccncc1CSC(C)(C)C,-18.7704753343951
Cc1ccccc1CCC1CNCCN1C,-19.76227224916652
CNC(=N)NC(CO)c1ccccc1,-21.830972564826908
CCC(C)(C)COc1cnccc1C,-18.014077831880137
CC(C)(C)C(C)(N)Cc1ccccc1,-17.632086223120794
CNCC(Sc1ccccn1)c1ccccc1,-21.679628074156813
CN1CCCc2ccc(C(O)C#N)cc21,-19.93430404043366
CC(=O)Nc1ncc(C)cn1,-21.800009426337855
COCC(N)Cc1ncccn1,-22.591318965568938
CON(C)c1ccncc1C#N,-21.217313846782943
C=CCSCc1cccnc1NCC,-20.180045132607404
CNCC(C)Oc1ccc(C#N)cn1,-21.303328674439555
NC1=NCCCO1,-20.58713258949652
CN1CCC(Oc2cccnc2)CC1,-21.071627440992096
CC(=CCN)c1ncccn1,-21.83235035699318
C=C(CC)CNc1ncccn1,-21.87291386922901
N#Cc1ccc(C2NCCNC2=O)cn1,-23.559968370573653
CCC(C)(C)CNCc1cnccc1C,-19.331891175940303
COCCSc1ncc(N)cn1,-23.10422371471202
CC(NS(C)(=O)=O)C1CCC1,-20.310050169240956
CCCC(C)(N)c1cnccc1C,-20.16689809305978
Cc1ccncc1CN(C)C(N)=O,-21.946509186140084
COC(=O)C(C)CSCOCc1ccccc1,-15.927533067456295
C#CC(C)(C)Oc1cccc(NCC)n1,-19.041055809538477
CCNc1nnccc1C#N,-23.022803571606808
N#Cc1ccc(NCCN2CCOCC2)cc1,-21.461345975251007
CCOC(=O)CC(C)c1cc(C)ccn1,-17.627031261462754
NS(=O)(=O)c1ccc(OCCO)cc1,-19.354240069289972
O=C1CCCC1CN1CCC(O)CC1,-19.269432618862037
CC(=O)NC1CCSC(C)C1,-19.591645072901024
Cc1ccsc1C1(O)CC2OCCC21,-19.170364232047444
CCNc1cccc(N(C)CCCOC)n1,-21.494996339750294
O=C1CCCCCC1CN1CCC(O)CC1,-18.182710366790175
NCC(S)c1cncnc1,-22.833964752016097
CC(N)C(C)Nc1cncnc1,-24.517051537131447
C#CCCC(C(=O)O)c1ccccc1,-14.712579858862886
CCCCNC(O)COc1ccccc1,-17.995316482844466
C#CCC(O)CNc1ccc(C#N)cn1,-20.10226180627885
CC(O)C(C)c1cncnc1,-20.561748611022537
Cc1ccncc1C(=O)C(O)CCN,-19.95304759396609
CC12CCCCC1CN2S(N)(=O)=O,-22.908536595933718
O=C(CCCO)c1cncnc1,-19.962647967712865
C=CCCC(=O)c1ccncn1,-19.244242871372933
Cc1ccnc(NCC(C)N(C)C)c1,-21.97662484645492
CC(C)CN(C)c1ccncc1C#N,-21.112567468486976
C=CC(=O)NCCCCNOCc1ccccc1,-18.246500018183248
CCC(C)C(O)c1cncnc1,-20.554504522556662
CNCCCCNc1ccccc1C(=O)OC,-18.994714527274457
Cc1ccncc1C#CCNC(=O)CN,-20.66177743046734
COCCNC(c1ccccc1)c1ccccn1,-20.8022607073506
Cc1ccnc(C(O)C(=O)O)c1,-17.97317192854809
CN1CCCc2ccc(C(N)C#N)cc21,-21.780357277493348
O=C=NCC=Cc1ccccc1,-16.536361735868226
COCCN(C)c1ccncc1C#N,-21.303328674439555
Cc1ccncc1C(C)CCN,-20.39561505040522
N#Cc1ccc(N2CCCNCC2)cn1,-23.89685105500844
O=C(CCC1CCCCC1)Nc1ccccn1,-19.505971149410293
COC(=O)c1ccc(CCCS)cc1,-16.440131057786324
Cc1ccncc1C=C(N)C(=O)O,-19.36564578898571
NC1=NC(=O)OC12CSC2,-21.44471267424135
NCC(N)c1cncnc1,-24.405682046586982
